"POLITICAL_UNIT","NAME","Event_ID","WGMS_ID","EVENT_DATE","ET_SURGE","ET_CALVING","ET_FLOOD","ET_AVALANCHE","ET_TECTONIC","ET_OTHER","EVENT_DESCRIPTION","INVESTIGATOR","SPONSORING_AGENCY","REFERENCE","REMARKS","PUB_IN_FOG"
"AR","GRANDE DEL JUNCAL GLACIER JUNCAL I",588,8166,19559999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""Glaciar Grande del Juncal experienced a rapid advance in 1910 which was documented by Helbling , and another advance may be deduced by comparing Helbling's 1934 map and the 1955 aerial photographs. The terminus of the glacier must have advanced sometimes within this period because it was located about 140m beyond the position marked by Helbling in 1934."" ELE1986 ""In the Rio del Plomo Basin at 33*S, Grande del Juncal Glacier surged in 1910 and some time between 1934 and 1955."" CG1998 ",,,"Event description, Surge Diagnostic features and index based on ELE1986, CG1998. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.","surge onset: 1934",
"AR","GRANDE DEL NEVADO DEL PLOMO",582,3304,17869999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""There is also evidence that durging the eighteenth century it (Glaciar Grande del Nevado del Plomo) could possibly have surged (Prieto 1986), though there is no certainty about the exact date on which this occured"" BRH1987 ""Historic sources speak of a probable similar event (surge) in 1786 (Prieto, 1986)"" ELE19900 ",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).",,
"AR","GRANDE DEL NEVADO DEL PLOMO",3445,3304,17880102,0,,1,0,0,0,"On January 2, 1788 a GLOF took place in Grande Del Nevado Plomo glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"AR","GRANDE DEL NEVADO DEL PLOMO",583,3304,19129999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""Glaciar Grande del Nevado advance began in 1912"" ELE1986 ",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).",,
"AR","GRANDE DEL NEVADO DEL PLOMO",97,3304,19340110,1,0,1,0,0,0,"The flood of 10 January 1934 had a peak discharge of 3,200 m3/s and destroyed bridges and 12.6 km of railroad along Río Mendoza. Inspection of the site showed that Glaciar Grance del Nevado del Plomo had advanced 900 m since its last inspection, 22 years before. It had produced a lake 3 km long, with a maximum depth of 75 m and a volume of 60 million m3 of water. Clean white ice overthrusted the old moraine. The duration of the advance was unknown and controversial (Espizúa, 1986).",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).",,
"AR","GRANDE DEL NEVADO DEL PLOMO",3446,3304,19340111,0,,1,0,0,0,"On January 1, 1934 a GLOF took place in Grande Del Nevado Del Plomo glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"AR","GRANDE DEL NEVADO DEL PLOMO",584,3304,19749999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""In 1974 the front of the glacier was 1050m beyond the position reached in 1963 (...) The 1974 aerial photographs show that the ice volume in the area covered by supraglacial drift had evidently increased"". ELE1986 ""Grande del Nevado glacier surged at the end of 1933, between 1963 and 1974, and again in 1984 (Helbling 1919, 1935, 1940; Espizua, 1986, 1987; Espizua and Bengochea, 1990; Bruce et al., 1987; Prieto, 1986; IAHS(ICSI)/UNEP/UNESCO, 1998, 1993)."" CG1998 ""Grande del Nevado Glacier experienced a surge in 1933 (Helbling, 1935,1940), an advance of 1050m between 1963 and 1974, where the ice volume in the area covered by supraglacial drift had evidently increased, with the glacier showing a differrent behaviour in respect to the other glaciers in the Plomo area,..."" ELE1990 ",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).",,
"AR","GRANDE DEL NEVADO DEL PLOMO",585,3304,19849999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""Satellite imagery showed that in September 1984 Glaciar Grande del Nevado del Plomo had advanced, and that in November-December an ice dammed lake had formed. The glacier's snout rested against ""Roca Pulida"" and its surface exhibited the typical features of a surge, i.e. a chaotic mass of crevasses and ice pinnacles"" BRH1987 ""... Such is the case with the Grande del Nevado del Plomo, the 1984 surge of which can be observed on satellite images. The surge began sometime between February and April 1984, after advancing 2,7km the glacier front reached Roca Pulida in november the same year, thus damming the Plomo River. (...) The surge of Grande del Nevado del Pomo is easily recognised in the color composite of the 1985 image (MSS) due to its dark colour with small elongated marks of a lighter colour. The glacier was fragmented into blocks with abundant debris, caused by the sudden and rapid advance"". LRE1995 ""On February 1985, owing to the abnormally high flow of the Tupungato River, it was possible to detect the dam created in the Plomo watershed by a new surge of the Grande del Nevado del Plomo Glacier (Bruce et al 1987)"" LJC1999 ""The evolution of another, recent surge of Glaciar Grande del Nevado was documented using Landsat imagery. Following a sudden advance of ca 2,7km from its 1974 position, the glacier dammed Rio del Plomo in November 1984 and created a new 2,8km long lake that drained gradually through a natural subglacial tunnel in march 1985 (Espizua and Bengochea, 1990)."" MMH2009 ""Grande del Nevado glacier surged at the end of 1933, between 1963 and 1974, and again in 1984 (Helbling 1919, 1935, 1940; Espizua, 1986, 1987; Espizua and Bengochea, 1990; Bruce et al., 1987; Prieto, 1986; IAHS(ICSI)/UNEP/UNESCO, 1998, 1993)."" CG1998 ""(Grande del Nevado Glacier) experienced a new surge in 1984 (Espizua, 1986, 1987)."" ELE1990 ""During its 3-kilometer surge, Plomo glacier (full name = Glaciar Grande del Nevado del Plomo) crossed the Rio Plomo in the Cerro Tupungato area at a speed of several meters per day and dammed up a lake of consider- able volume (several tens of millions of cubic meters). In February and March 1985, the lake partially filled and emptied three times. Cata- strophic floods did not occur, probably due to the fact that water was able to flow out over the heavily broken ice at the contact between the advancing glacier front and the opposite rocks of the valley wall. The return period of the surge appears to be about 50 years. The glacier flood triggered by the last event in 1934 had caused heavy damage - especially to the Trans-Andean railway - and loss of lives. Reference/most important data source: Bruce et al. (1987), IANIGLA (1985), Rosario Prieto (1986)."" WGMS1988 ""The surge of the glacier as reported in the last volume was documented through analysis of Landsat imagery for 22 different dates between 1976 and 1986. The surge started sometime between 16 February 1984 and 4 April 1984. Between 4 April and 26 August, the advance amounted to 2 km. At the latter date, the surge front was already within 150 m of Roca Pu- lida. The frontal lobe of the glacier mainly broadened during the fol- lowing months before reaching Roca Pulida in November 1984 and damming the Rio Plomo after a total advance of about 2.7 km. The existence of the dangerous ice-dammed lake came to a definite end in March 1985. Reference/most important data source: Espizua and Bengochea (1990)."" WGMS1993b ",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).",,
"AR","GRANDE DEL NEVADO DEL PLOMO",3448,3304,19849999,0,,1,0,0,0,"In 1984, a GLOF took place in Grande del Nevado Plomo glacier in lake Plomo.","Stephan Harrison et al.","University of Exeter, Prince of Wales Road, Exeter, Devon UK, EX4 4SB","Harrison, S. et al. (2018); Climate change and the global pattern of moraine-dam glacial lake outburst floods, The Cryosphere, (12), 1195-1209 p.","The data come the database of glacier and permafrost disasters (2013).",
"AR","GRANDE DEL NEVADO DEL PLOMO",3447,3304,19870301,0,,1,0,0,0,"On March 1, 1987 a GLOF took place in Grande Del Nevado Del Plomo glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"AR","GRANDE DEL NEVADO DEL PLOMO",220,3304,20079999,1,0,0,0,0,0,"The Grande del Nevado glacier had a new surge event during 2007. Between the satellite images of 25 September 2006 and 20 March 2007, after 23 years of a quiescent phase, the glacier started to move and advanced 400 m. In the autumn of 2007 it flowed down the valley about 600 m in 16 days, with a maximum velocity of 34 m d-1. Between 23 May 2007 and 28 September 2007, there were no satellite images available for monitoring the glacier due to the presence of clouds and snow, but the main advance occurred during this period. The glacier moved 1.8 km, reaching the outcrop named Roca Pulida, and its front broadened around it. The difference between this new surge event and those occurring in 1934 and 1984 (cf. Helbling 1935, Espizua 1986, Espizua and Bengochea 1990) is that in this case an ice-dammed lake was not formed upstream of the glacier front. Nowadays the Plomo river flows through a subglacial tunnel of the Grande del Nevado glacier front. The total volume of displaced ice and debris during the whole event is estimated to be about 83 x 1 million m3.",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).","Data reported by Lidia Ferri Hidalgo. Earlier special events on Grande del Nevado glacier were reported in: Espizua, 1986; Espizua and Bengochea, 1990; WGMS, 1993.",2010
"AR","HORCONES INFERIOR",52,919,19849999,1,0,0,0,0,0,"The Horcones Inferior glacier is located at 32º40' S latitude and 70º00' W longitude at the south wall of the Cerro Aconcagua (6959 m), the highest peak in the Westhern Hemisphere. It is a valley glacier covered by debris exhibiting thermokarst features, that flows to the southeast for about 11 km and is 500–700 m wide. Based on the image of December 24, 1984, a wave of ice free of supraglacial drift advanced 6,100 m from the head of the glacier at an altitude of 5,350 m a.s.l. The glacier front motion probably started in 1984. On the image of February 22, 1986 the glacier surge advanced 3,675 m between 1984 and 1986 and reached a lower topographic position (100 m) than it did in 1976 (Unger and others 2000).",,,"Happoldt H. and Schrott, L. in: WGMS (1993): FoG 1985-1990 (Vol. VI). Unger C., Espizua L. E. And Bottero, R. In: WGMS (2005): FoG 1995-2000 (Vol. VIII).","The potential hazard of the Horcones Inferior glacier surge damming the river does not seem likely because it flows to the southeast along the Horcones Inferior valley, and its terminus does not join with a tributary glacier.",2000
"AR","HORCONES INFERIOR",174,919,20040209,1,0,0,0,0,0,"The Horcones Inferior glacier is located at 32º40’S latitude and 70º00’W longitude at the south wall of Cerro Aconcagua (6959 m a.s.l.), the highest peak in the Western Hemisphere. It is a valley glacier covered by debris with thermokarst features, that fl ows to the southeast. Between 1963 and 1984 the glacier front position did not show signifi cant changes. The glacier surged between 1984 and 1986 and stopped in 1989. It was about 10.5 km long between 1990 and 1997. From 1997 to 1999 the glacier retreated 130 m based on fi eld observations (Happold and Schrott 1993, Unger et al. 2000, 2005). A new surge event started in 2004. The evolution of the surge front was detected through analysis of Landsat images and fi eld observations. We cannot establish the exact start of the surge, but on the image of 13 February, 2003, in the upper part of the glacier at 4175 m a.s.l., a partly debris-covered ice wave advanced 320 m with respect to 10 February, 1999. Between the images of 13 February, 2003, and 8 February, 2004, this ice wave advanced 5140 m with a mean velocity of 14.3 m per day on the debris-covered glacier. It reached an altitude of 3910 m a.s.l., 360 m upstream from the stable front position of the glacier. On the image of 25 January, 2005, the surge advanced another 3000 m with a mean velocity of 8.5 m per day, fi nally advancing the glacier front position. The satellite image of 28 January, 2006, shows that the surge front advanced another 440 m with a mean velocity of 1.2 m per day.",,,"Happoldt H. and Schrott, L. in: WGMS (1993): FoG 1985-1990 (Vol. VI). Unger C., Espizua L. E. And Bottero, R. In: WGMS (2005): FoG 1995-2000 (Vol. VIII).","Satellite image data was processed by Pierre Pitte. Field work and GPS measurements was done by Fabián Díaz, Pablo Lizana. Earlier events were studied by Unger et al (2000; 2005) and published in Zeitschrift für Gletscherkunde und Glazialgeologie and FoG VIII respectively.",2005
"AR","INNOMIATE",590,8167,19919999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""... during the 5 years from 1986 to 1991 it has experienced a significant advance. If the bare ice is considered as the front, the advance was approximately 550-600m; alternatively, if the position is the one that appears as debris-covered glacier in 1986, and partly bare ice in 1991, the advance is 2900m. This distance, together with the reflectance pattern on the satellite image, would suggest that the glacier is experiencing a surge."" LRE1995 ""The glacier Innomiate advanced 2,900m between 1986 and 1991 (Llorens and Leiva, in Press)."" CG1998 ",,,"Event description, Surge Diagnostic features and index based on LRE1995, CG1998. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.","surge onset: 1986",
"AR","LAGUNA",1150,8164,19829999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""The terminus of Glaciar Laguna in the Rio Atuel Valley advanced 1400m between 1970 and 1982"" ELE1986 ""Glaciar de la Laguna, which advanced 1400m between 1970 and 1972 in what is considered a surging event (Cobos and Boninsegna, 1983)"" LQC2009 ""Glaciar Laguna (...) advanced ca 1400m sometime between 1970 and 1982 (Cobos and Boninsegna, 1983). The magnitude of change and the fact that most glaciers in the basin retreated over this interval suggest that this recent Glacier Lagunar advance is probably a surging event."" MMH2009 ""Another mass of ice deserving attention is the Laguna valley. It is noteworthy that from 1970 to 1982 the glacial tongue advanced about 1400m, which is cause for conjecture that there may be a surging mechanism not yet studied in this region of the Andes. The advance of this glacier is an exception, since nearly all the ice masses at these latitudes are decreasing in mass."" CDR1983 Listed as ""surge?"" in table p262 based on aerial photos and/or satellite imagery in MMH2009 ",,,"Event description, Surge Diagnostic features and index based on ELE1986, LQC2009, MMH2009, CDR1983. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.","surge onset: 1970",
"AR","LAS LENAS",3429,10456,20070399,0,0,0,0,1,0,"Before march 2007 an estimated 4.5 millon m3  rockfall/avalanche left a deposit on Las Leñas glacier.","Daniel Falaschi","IANIGLA-CONICET","Falaschi et al. 2018. TCD. 10p.",,
"AR","MANSO",3449,1345,20090599,0,,1,0,0,0,"In May 2009, a GLOF took place in Manso Glacier in lake Ventisquero Negro. The outburst volume was 10.00 * 10^6 m^3/s. The discharge peak was 4100.00 m^3/s. The GLOF was probably triggered by high precipitation.","Stephan Harrison et al.","University of Exeter, Prince of Wales Road, Exeter, Devon UK, EX4 4SB","Harrison, S. et al. (2018); Climate change and the global pattern of moraine-dam glacial lake outburst floods, The Cryosphere, (12), 1195-1209 p.","The data come from Worni and others (2011) and Iribarren Anacona and others (2014).",
"AR","MORENO",3450,920,19179999,0,,1,0,0,0,"Between 1917 and 2012, 24 GLOFSs place in Moreno glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"AR","MORENO",3451,920,19539999,0,,1,0,0,0,"In 1953, a GLOF took place in Moreno glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"AR","MORENO",3452,920,19569999,0,,1,0,0,0,"In 1956, a GLOF took place in Moreno glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"AR","MORENO",3453,920,19669999,0,,1,0,0,0,"In 1966, a GLOF took place in Moreno glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"AR","NEVADO DEL PIUQUENES EAST GLACIER",595,8172,19979999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""... the east glacier of Nevado de los Piuquenes was found to be surging in January 1997 (A. Aristarain, oral communication."" IAHS1999 ",,,"Event description, Surge Diagnostic features and index based on IAHS1999. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",,
"AR","PENON",3427,2850,20181214,0,0,0,0,1,0,"Between 14/12/2018 and 15/01/2018 eruptive activity was reported on Peteroa volcano with ash and vapor column 400-1300  high. The plume was mainly oriented SE and the deposit area reaches up to 20 km.","Pierre Pitte, Laura Zalazar","IANIGLA-CONICET",,,
"AR","PIEDRAS BLANCAS",3454,3716,19131216,0,,1,0,0,0,"On December 16, 1913 a GLOF took place in Piedras Blancas glacier.","Jonathan L. Carrivick and Fiona S. Tweed; Stephan Harrison et al.","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK; University of Exeter, Prince of Wales Road, Exeter, Devon UK, EX4 4SB","Carrivick & Tweed (2016), Global and Planetary Change, 144, pp. 1-16.; Harrison, S. et al. (2018), The Cryosphere 12.4 (2018): 1195-1209.","The data comes from Iribarren Anacona and others (2014).",
"AR","RIO MUSEO (DEL RIO)",591,8168,19359999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""In Chile and Argentina there are several cases of surging glaciers (...) near Santiago (Juncal Sur, Museo and Colina)."" CG1998 ""Surging glaciers have been reported by Lliboutry (1956) for Glacier Nieves Negras Chileno (Southwest of Volcan San Jose) in 1927, Glaciar del Rio in 1935,..."" IAHS1999 ",,,"Event description, Surge Diagnostic features and index based on CG1998, IAHS1999. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",,
"AR","UNNAMED 31794",3455,31794,20090521,0,,1,0,0,0,"On May 21, 2009 a GLOF took place in Unnamed 31794 glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"AR","UNNAMED GLACIER EAST/NORTHEAST OF CERRO ALTO",1153,8174,19469999,1,0,0,0,0,0,"Event description from Sevestre & Benn (2015): ""Satellite imagery makes it possible to infer the existence of surging glaciers because medial moraines of surging glaciers are contorted into sinuous patterns, a telltale sign of a surging glacier. This is the case for a glacier east of Cerro Polleras (at the head of Arroyo Desmochado), for the east glacier of Cerro Marmolejo, and for the unnamed glacier east-northeast of Cerro Alto. In the last case, a photograph taken by Luis Krahl from Cerro Alto in 1946 seems to indicate that the main glacier was surging at the time."" IAHS1999 ",,,"Event description, Surge Diagnostic features and index based on IAHS1999. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",,
"AR","VIEDMA",3430,3369,20181020,0,0,0,0,1,0,"Before 20/10/2018 rockfall fell from the Mariano Moreno mountain range on a section of upper Viedma glacier, the deposit is 3.5 km long.","Pedro Skvaca, Pierre Pitte","Glaciarium, IANIGLA-CONICET",,,
"AT","FILLECK K.",446,476,20089999,0,0,0,0,0,1,"Filleck Kees disintegrates into four ice patches.",,,"Heinz Slupetzky",,
